时间,资金
10971,10952.061793630977
10972,10952.061793630977
10973,10952.061793630977
10974,10952.061793630977
10975,10952.061793630977
10976,10952.061793630977
10977,10952.061793630977
10978,10952.061793630977
10979,10952.061793630977
10980,10952.061793630977
10981,10952.061793630977
10982,10952.061793630977
10983,10952.061793630977
10984,10952.061793630977
10985,10952.061793630977
10986,10952.061793630977
10987,10952.061793630977
10988,10952.061793630977
10989,10952.061793630977
10990,10952.061793630977
10991,10952.061793630977
10992,10952.061793630977
10993,10952.061793630977
10994,10952.061793630977
10995,10952.061793630977
10996,10952.061793630977
10997,10952.061793630977
10998,10952.061793630977
10999,10952.061793630977
11000,10952.061793630977
11001,10952.061793630977
11002,10952.061793630977
11003,10952.061793630977
11004,10952.061793630977
11005,10952.061793630977
11006,10952.061793630977
11007,10952.061793630977
11008,10952.061793630977
11009,10952.061793630977
11010,10915.710936358266
11011,10915.710936358266
11012,10915.710936358266
11013,10915.710936358266
11014,10915.710936358266
11015,10915.710936358266
11016,10915.710936358266
11017,10915.710936358266
11018,10915.710936358266
11019,10915.710936358266
11020,10915.710936358266
11021,10945.072314360068
11022,10945.072314360068
11023,10966.337599750144
11024,10975.174260667634
11025,10976.04368476465
11026,10988.472309237242
11027,11047.316588169233
11028,11135.608675278656
11029,11210.100931911047
11030,11202.817642046897
11031,11229.256414825699
11032,11401.740219398424
11033,11359.39843785076
11034,11343.914408694367
11035,11249.72845423012
11036,11249.72845423012
11037,11249.72845423012
11038,11249.72845423012
11039,11249.72845423012
11040,11249.72845423012
11041,11249.72845423012
11042,11249.72845423012
11043,11249.72845423012
11044,11249.72845423012
11045,11249.72845423012
11046,11249.72845423012
11047,11249.72845423012
11048,11249.72845423012
11049,11249.72845423012
11050,11249.72845423012
11051,11249.72845423012
11052,11249.72845423012
11053,11249.72845423012
11054,11249.72845423012
11055,11249.72845423012
11056,11249.72845423012
11057,11249.72845423012
11058,11249.72845423012
11059,11249.72845423012
11060,11249.72845423012
11061,11249.72845423012
11062,11249.72845423012
11063,11249.72845423012
11064,11249.72845423012
11065,11249.72845423012
11066,11249.72845423012
11067,11249.72845423012
11068,11249.72845423012
11069,11249.72845423012
11070,11249.72845423012
11071,11249.72845423012
11072,11249.72845423012
11073,11249.72845423012
11074,11249.72845423012
11075,11249.72845423012
11076,11249.72845423012
11077,11249.72845423012
11078,11249.72845423012
11079,11249.72845423012
11080,11249.72845423012
11081,11249.72845423012
11082,11249.72845423012
11083,11249.72845423012
11084,11249.72845423012
11085,11249.72845423012
11086,11223.663281722636
11087,11240.604014779221
11088,11328.844398156742
11089,11289.477842304033
11090,11307.079979112994
11091,11290.201150841118
11092,11305.403662706105
11093,11280.36969358595
11094,11280.36969358595
11095,11280.36969358595
11096,11280.36969358595
11097,11280.36969358595
11098,11280.36969358595
11099,11280.36969358595
11100,11280.36969358595
11101,11280.36969358595
11102,11280.36969358595
11103,11280.36969358595
11104,11280.36969358595
11105,11280.36969358595
11106,11280.36969358595
11107,11280.36969358595
11108,11280.36969358595
11109,11280.36969358595
11110,11280.36969358595
11111,11280.36969358595
11112,11280.36969358595
11113,11280.36969358595
11114,11280.36969358595
11115,11280.36969358595
11116,11280.36969358595
11117,11280.36969358595
11118,11280.36969358595
11119,11280.36969358595
11120,11280.36969358595
11121,11280.36969358595
11122,11280.36969358595
11123,11280.36969358595
11124,11280.36969358595
11125,11280.36969358595
11126,11280.36969358595
11127,11280.36969358595
11128,11280.36969358595
11129,11280.36969358595
11130,11280.36969358595
11131,11280.36969358595
11132,11280.36969358595
11133,11280.36969358595
11134,11233.926614400558
11135,11233.926614400558
11136,11233.926614400558
11137,11233.926614400558
11138,11233.926614400558
11139,11233.926614400558
11140,11233.926614400558
11141,11233.926614400558
11142,11233.926614400558
11143,11233.926614400558
11144,11233.926614400558
11145,11233.926614400558
11146,11233.926614400558
11147,11233.926614400558
11148,11233.926614400558
11149,11233.926614400558
11150,11233.926614400558
11151,11233.926614400558
11152,11233.926614400558
11153,11233.926614400558
11154,11233.926614400558
11155,11233.926614400558
11156,11233.926614400558
11157,11233.926614400558
11158,11233.926614400558
11159,11233.926614400558
11160,11233.926614400558
11161,11233.926614400558
11162,11233.926614400558
11163,11233.926614400558
11164,11233.926614400558
11165,11233.926614400558
11166,11233.926614400558
11167,11233.926614400558
11168,11233.926614400558
11169,11233.926614400558
11170,11233.926614400558
11171,11233.926614400558
11172,11233.926614400558
11173,11233.926614400558
11174,11233.926614400558
11175,11233.926614400558
11176,11233.926614400558
11177,11233.926614400558
11178,11233.926614400558
